epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,50.7991,1.24471,1.54904,1.059,0.02575,0.49405,0.46376,0.38047,1.26864,3.57636,1.1327,0.000302,0.000302,0.000302
42,52.0895,1.40876,1.58987,1.14675,0.02575,0.49405,0.46376,0.38047,1.26864,3.57636,1.1327,0.000304476,0.000304476,0.000304476
43,53.2957,1.25036,1.85443,1.09949,0.02545,0.59524,0.49144,0.40498,1.2545,3.52859,1.10045,0.000306705,0.000306705,0.000306705
44,54.5269,1.19497,1.70097,1.05251,0.02545,0.59524,0.49144,0.40498,1.2545,3.52859,1.10045,0.000308686,0.000308686,0.000308686
45,55.643,1.23869,1.57044,1.09694,0.025,0.59524,0.47875,0.41908,1.32148,3.52768,1.14895,0.00031042,0.00031042,0.00031042
46,56.749,1.23291,1.45433,1.02657,0.025,0.59524,0.47875,0.41908,1.32148,3.52768,1.14895,0.000311906,0.000311906,0.000311906
47,57.8954,1.41855,1.40822,1.12515,0.02889,0.63095,0.48125,0.38563,1.36452,3.46881,1.15928,0.000313145,0.000313145,0.000313145
48,59.0499,1.27782,1.39712,1.09268,0.02889,0.63095,0.48125,0.38563,1.36452,3.46881,1.15928,0.000314136,0.000314136,0.000314136
49,60.1729,1.563,1.56772,1.12227,0.02243,0.67857,0.47477,0.38582,1.29287,3.4403,1.14492,0.00031488,0.00031488,0.00031488
50,61.2446,1.53559,1.68108,1.09616,0.02243,0.67857,0.47477,0.38582,1.29287,3.4403,1.14492,0.000315376,0.000315376,0.000315376
51,62.5953,1.26438,1.65144,1.12176,0.02037,0.69643,0.55842,0.42765,1.2322,3.38151,1.12161,0.000315625,0.000315625,0.000315625
52,63.6513,1.49895,1.6144,1.19474,0.02037,0.69643,0.55842,0.42765,1.2322,3.38151,1.12161,0.000315626,0.000315626,0.000315626
53,64.8778,1.36001,1.52024,1.16304,0.02037,0.69643,0.55842,0.42765,1.2322,3.38151,1.12161,0.00031538,0.00031538,0.00031538
